SAD,CALM,ANGRY,CONFUSED,FEAR,HAPPY,DISGUSTED,SURPRISED,emotion
0.00 ,9.28 ,0.00 ,10.11 ,0.00 ,60.12 ,0.00 ,0.00 ,p
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.76 ,0.00 ,0.00 ,p
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.85 ,0.00 ,0.00 ,p
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.77 ,0.00 ,0.00 ,p
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.77 ,0.00 ,0.00 ,p
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.77 ,0.00 ,0.00 ,p
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.68 ,0.00 ,0.00 ,p
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,97.89 ,0.00 ,0.00 ,p
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,98.66 ,0.00 ,0.00 ,p
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.74 ,0.00 ,0.00 ,p
0,0,0,0,0,99.74 ,0,0,p
0,0,0,0,0,99.77 ,0,0,p
0,0,0,0,0,99.75 ,0,0,p
0,0,0,0,0,99.07 ,0,0,p
0,0,0,0,0,99.93 ,0,0,p
0,0,0,0,0,99.93 ,0,0,p
0,0,0,0,0,99.87 ,0,0,p
0,0,0,0,0,99.82 ,0,0,p
0,0,0,0,0,99.26 ,0,0,p
0,0,0,0,0,99.26 ,0,0,p
65.70 ,27.10 ,2.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,z
2.50 ,92.30 ,0.00 ,0.00 ,0.00 ,2.10 ,0.00 ,0.00 ,z
10.90 ,75.60 ,0.00 ,0.00 ,0.00 ,8.40 ,0.00 ,0.00 ,z
6.30 ,55.10 ,0.00 ,0.00 ,0.00 ,33.10 ,0.00 ,0.00 ,z
37.90 ,51.50 ,0.00 ,0.00 ,0.00 ,3.50 ,0.00 ,0.00 ,z
60.30 ,30.70 ,4.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,z
3.10 ,45.60 ,0.00 ,0.00 ,0.00 ,43.10 ,0.00 ,0.00 ,z
20.86 ,45.50 ,0.00 ,0.00 ,0.00 ,17.42 ,0.00 ,0.00 ,z
20.76 ,68.69 ,0.00 ,0.00 ,0.00 ,3.87 ,0.00 ,0.00 ,z
24.21 ,42.96 ,0.00 ,0.00 ,0.00 ,12.21 ,0.00 ,0.00 ,z
88.20 ,4.37 ,2.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
98.91 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
95.11 ,2.68 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
94.10 ,4.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
99.54 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
96.96 ,2.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
99.62 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
82.91 ,14.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
96.51 ,2.55 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
85.75 ,12.39 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
96.86 ,1.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
97.84 ,1.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
54.99 ,38.15 ,1.75 ,1.88 ,0.00 ,0.00 ,0.00 ,0.00 ,n
93.36 ,3.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
82.38 ,7.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
94.48 ,3.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
91.57 ,3.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
97.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
95.46 ,1.97 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
96.31 ,1.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
90.62 ,2.30 ,0.00 ,3.12 ,0.00 ,0.00 ,0.00 ,0.00 ,n
98.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
96.77 ,1.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
97.70 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
98.41 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
59.50 ,24.92 ,0.00 ,5.36 ,0.00 ,0.00 ,0.00 ,0.00 ,n
96.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
81.82 ,6.36 ,4.16 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,n
