HAPPY,FEAR,ANGRY,SAD,DISGUSTED,SURPRISED,CONFUSED ,CALM,emotion
99,0,0,0,0,0,0,0.2,p
99,0,0,0,0.1,0,0,0.1,p
99,0,0,0,0,0,0,0.09,p
99,0,0,0,0,0,0,0.07,p
97,0,0,0,0,0,0,0.8,p
95,0,0,1,0,0,0,1,p
95,0,0,0,0,0,0,0.9,p
94,0,0,0,0,0,0,1,p
88,0,0,2,0,0,0,6,p
76,0,0,0,12,0,0,3,p
75,0,0,5,0,0,0,7,p
70,0,0,13,0,0,0,9,p
69,0,0,8,0,0,0,15,p
49,0,0,16,0,0,0,17,p
47,0,0,7,0,0,0,30,p
45,0,0,11,0,0,0,22,p
45,0,4,31,0,0,0,9,p
99,0,0,0,0,0.06,0,0,p
99,0,0,0,0,0.08,0,0,p
99,0.3,0,0,0,0,0,0,p
99,0,0.1,0,0,0,0,0,p
99,0,0.05,0,0,0,0,0,p
98,0,0,0,0.3,0,0,0,p
98,0,0,0,0.6,0,0,0,p
97,0,0,0,1,0,0,0,p
97,0,0,0,0,0.5,0,0,p
96,0,0.8,0,0,0,0,0,p
96,0,0.8,0,0,0,0,0,p
96,0,0.4,0,1.1,0,0,0,p
95,0.8,0.8,0,0,0,0,0,p
95,0,0,0,1.3,0,0,0,p
95,0,0,0,1.7,0,0,0,p
95,0,1,0,0,0,0,0,p
91,0,0,0,4,0,0,0,p
53,0,3,0,33,0,0,0,p
22,0,0,0,58,0,0,9,p
19,0,0,0,0,0,12,53,p
19,0,0,0,18,0,18,22,p
15,0,0,0,0,14,0,64,p
12,0,0,8,0,0,16,53,p
6,0,0,11,0,0,0,78,p
0,0,0,0,9,0,70,0,p
0,0,0.6,2,0,0,0,96,z
0,0,0.4,2,0,0,0,96,z
0,0,0,4,0,0,0,93,z
0,0,1,4,0,0,0,93,z
0,0,1,3,0,0,0,93,z
0,0,1,6,0,0,0,90,z
0,0,0,8,0,0,0.8,89,z
0,0,1,7,0,0,0,89,z
0,0,0,10,0,0,0,87,z
0,0,0,8,0,0,1,87,z
0,0,0,6,0,0,2,87,z
0,0,0,8,0,0,2,85,z
0,0,0.8,13,0,0,0,84,z
3,0,0,9,0,0,0,84,z
3,0,0,4.5,0,0,0,84,z
0,0,3,9,0,0,0,83,z
0,0,0.9,13,0,0,0,82,z
0,0,1.8,12,0,0,0,82,z
0,0,3,11,0,0,0,82,z
4,0,0,9,0,0,0,82,z
1,0,0,6,0,0,0,82,z
0,0,0,13,0,0,0,81,z
0,0,0,8,0,0,6,81,z
0,0,1,15,0,0,0,80,z
0,0,3,9,0,0,0,80,z
9,0,0,0,0,0,3,80,z
0,0,2,15,0,0,0,79,z
0,0,0,8,0,0,6,79,z
0,0,0,13,0,0,5,78,z
0,0,6,10,0,0,0,78,z
6,0,0,6,0,0,0,78,z
0,0,1,19,0,0,0,77,z
0,0,6,11,0,0,0,76,z
0,0,2,19,0,0,0,75,z
0,0,2,19,0,0,0,75,z
2,0,0,18,0,0,0,75,z
0,0,4,13,0,0,0,75,z
2,0,0,16,0,0,0,74,z
6,0,0,15,0,0,0,74,z
0,0,3,16,0,0,5,72,z
0,0,1.3,26,0,0,0,70,z
0,0,2.9,24,0,0,0,68,z
8,0,0,20,0,0,0,66,z
12,0,0,17,0,0,0,66,z
12,0,0,8,0,0,0,66,z
0,0,0,9,0,0,12,64,z
0,0,0,29,0,0,5,61,z
0,0,6,25,0,0,0,61,z
4,0,0,7,0,0,19,61,z
0,0,0,5,0,0,26,61,z
0,0,0.8,36,0,0,0,60,z
0,0,1.1,40,0,0,0,57,z
15,0,0,13,0,0,0,56,z
0,0,1.9,40,0,0,0,54,z
0,0,1.8,42,0,0,0,53,z
0,0,0,6,0,0,34,53,z
14,0,0,0,0,0,16,51,z
0,0,1.5,46,0,0,0,50,z
10,0,0,0,0,0,21,50,z
0,0,1.2,46,0,0,0,49,z
0,0,0,7,0,0,38,47,z
0,0,1.1,55,0,0,0,41,z
0,0,0,26,0,0,23,40,z
0,0,1.6,56,0,0,0,38,z
42,0,0,0,0,0,0,38,z
7,0,0,50,0,0,0,37,z
0,0,1.7,70,0,0,0,25,z
0,0,2,74,0,0,0,20,z
51,0,0,21,0,0,0,18,z
0,0,0,81,0,0,1,15,z
0,0,0.6,2,0,0,0,96,n
0,0,0.4,2,0,0,0,96,n
0,0,0,4,0,0,0,93,n
0,0,1,4,0,0,0,93,n
0,0,1,3,0,0,0,93,n
0,0,1,6,0,0,0,90,n
0,0,0,8,0,0,0.8,89,n
0,0,1,7,0,0,0,89,n
0,0,0,10,0,0,0,87,n
0,0,0,8,0,0,1,87,n
0,0,0,6,0,0,2,87,n
0,0,0,8,0,0,2,85,n
0,0,0.8,13,0,0,0,84,n
3,0,0,9,0,0,0,84,n
3,0,0,4.5,0,0,0,84,n
0,0,3,9,0,0,0,83,n
0,0,0.9,13,0,0,0,82,n
0,0,1.8,12,0,0,0,82,n
0,0,3,11,0,0,0,82,n
4,0,0,9,0,0,0,82,n
1,0,0,6,0,0,0,82,n
0,0,0,13,0,0,0,81,n
0,0,0,8,0,0,6,81,n
0,0,1,15,0,0,0,80,n
0,0,3,9,0,0,0,80,n
9,0,0,0,0,0,3,80,n
0,0,2,15,0,0,0,79,n
0,0,0,8,0,0,6,79,n
0,0,0,13,0,0,5,78,n
0,0,6,10,0,0,0,78,n
6,0,0,6,0,0,0,78,n
0,0,1,19,0,0,0,77,n
0,0,6,11,0,0,0,76,n
0,0,2,19,0,0,0,75,n
0,0,2,19,0,0,0,75,n
2,0,0,18,0,0,0,75,n
0,0,4,13,0,0,0,75,n
2,0,0,16,0,0,0,74,n
6,0,0,15,0,0,0,74,n
0,0,3,16,0,0,5,72,n
0,0,1.3,26,0,0,0,70,n
0,0,2.9,24,0,0,0,68,n
8,0,0,20,0,0,0,66,n
12,0,0,17,0,0,0,66,n
12,0,0,8,0,0,0,66,n
0,0,0,9,0,0,12,64,n
0,0,0,29,0,0,5,61,n
0,0,6,25,0,0,0,61,n
4,0,0,7,0,0,19,61,n
