CALM,SAD,ANGRY,HAPPY,CONFUSED,FEAR,DISGUSTED,SURPRISED,emotion
0,0,0,99,0,0,0,0.05,p
0,0,0,99,0.1,0,0,0,p
0,0,0.1,99,0,0,0,0,p
0,0,0,99,0,0,0,0.05,p
0,0,0.06,99,0,0,0,0,p
0,0,0,99,0,0,0,0.03,p
0,0,0,99,0.1,0,0,0,p
0.5,0,0,98,0,0,0,0,p
0,0,0,98,0.4,0,0,0,p
0,0,0,97,1,0,0,0,p
0.8,0,0,97,0,0,0,0,p
1,0,0,93,2,0,0,0,p
0,0,0,81,11,0,1,0,p
0,6,0,56,21,0,0,0,p
9,0,0,48,25,0,0,0,p
23,7,0,27,32,0,0,0,p
18,0,0,12,51,0,0,0,p
49,14,0,11,14,0,0,0,p
8,0,0,11,64,0,0,0,p
66,12,0,9,0,0,0,0,p
0,15,0,5,65,0,0,0,p
68,8,6,4,6,0,0,0,p
87,8,1,0,0,0,0,0,p
55,37,2,0,0,0,0,0,p
67,25,3,0,0,0,0,0,p
67,16,7,0,0,0,0,0,p
10,5,0,0,76,0,0,0,p
56,29,5,0,0,0,0,0,p
77,9,3,0,0,0,0,0,p
68,21,3,0,0,0,0,0,p
91,5,1,0,0,0,0,0,z
90,6,1,0,0,0,0,0,z
90,5,0.9,0,0,0,0,0,z
90,5,1.4,0,0,0,0,0,z
89,7,0,0,0,0,0,0,z
89,5,1,0,0,0,0,0,z
86,6,4,0,0,0,0,0,z
85,5,2,0,0,0,0,0,z
85,11,1,0,0,0,0,0,z
84,7,2,0,0,0,0,0,z
83,12,2,0,0,0,0,0,z
83,11,2,0,0,0,0,0,z
82,9,3,0,0,0,0,0,z
79,15,2,0,0,0,0,0,z
79,16,1,0,0,0,0,0,z
78,18,1,0,0,0,0,0,z
78,14,3,0,0,0,0,0,z
75,21,1,0,0,0,0,0,z
75,12,5,0,0,0,0,0,z
74,20,4,0,0,0,0,0,z
72,17,6,0,0,0,0,0,z
70,21,5,0,0,0,0,0,z
69,24,3,0,0,0,0,0,z
64,29,4,0,0,0,0,0,z
64,31,1,0,0,0,0,0,z
62,33,2,0,0,0,0,0,z
55,36,5,0,0,0,0,0,z
54,40,3,0,0,0,0,0,z
39,52,52,0,0,0,0,0,z
26,66,5,0,0,0,0,0,z
1,95,1,0,0,0,0,0,n
2,95,2,0,0,0,0,0,n
0,92,3,0,0,0,0,0,n
7,89,2,0,0,0,0,0,n
4,89,3,0,0,0,0,0,n
0,89,6,0,0,0,0,0,n
5,88,4,0,0,0,0,0,n
8,83,3,0,0,0,0,0,n
9,81,5,0,0,0,0,0,n
8,81,8,0,0,0,0,0,n
9,77,10,0,0,0,0,0,n
11,77,6,0,0,0,0,0,n
19,70,7,0,0,0,0,0,n
7,69,20,0,0,0,0,0,n
14,61,20,0,0,0,0,0,n
20,58,0,0,15,0,0,0,n
35,58,0,0,2,0,0,0,n
32,55,5,0,0,0,0,0,n
32,54,9,0,0,0,0,0,n
37,53,4,0,0,0,0,0,n
39,51,3,0,0,0,0,0,n
28,48,19,0,0,0,0,0,n
29,45,19,0,0,0,0,0,n
45,40,9,0,0,0,0,0,n
55,33,6,0,0,0,0,0,n
67,28,2,0,0,0,0,0,n
55,27,0,0,10,0,0,0,n
36,14,0,0,39,0,0,0,n
81,13,2,0,0,0,0,0,n
0,0,0,0,26,16,0,41,n
